Participant,Trial,D2Criterion,Case,D1Criterion,D1C1,D1C2,D1C3,D1C4,D1C5,D2C2,D2C1,D2C5,D2C4,D2C3,Order,Block,n,CompSelected_mean,CompSelected_raw,CompSelected_std,Correct_mean,Correct_raw,Correct_std
1,1,8.895443237,1,69.09867493,0,1,1,1,0,0,1,1,0,0,1,2,1,1,1,0,1,1,0
1,2,0.446301291,3,73.89210303,1,0,1,1,1,0,0,0,0,0,1,2,1,2,2,0,0,0,0
1,3,11.4752932,2,66.03838905,1,0,0,1,0,1,0,1,0,0,1,2,1,2,2,0,0,0,0
1,4,40.27830244,4,56.19386629,0,0,0,1,0,0,0,0,0,1,1,2,1,1,1,0,1,1,0
1,5,52.04602876,5,41.87861051,1,1,0,1,0,0,1,0,0,0,1,2,1,1,1,0,0,0,0
1,6,12.34624909,9,91.76919687,1,1,1,0,1,1,0,0,1,0,2,2,1,2,2,0,0,0,0
1,7,83.61521103,6,32.25636513,1,0,0,0,0,1,0,0,1,1,2,2,1,1,1,0,0,0,0
1,8,76.71870062,7,9.238803164,0,0,1,0,0,0,1,1,0,1,2,2,1,2,2,0,1,1,0
1,9,88.79940149,10,5.98752079,1,1,0,1,0,1,1,1,1,0,2,2,1,2,2,0,1,1,0
1,10,12.64034278,8,80.31715172,1,0,0,0,0,0,0,0,1,0,2,2,1,1,1,0,1,1,0
1,11,11.34629526,14,56.84575748,0,1,1,0,0,0,0,1,0,0,3,2,1,2,2,0,0,0,0
1,12,52.04850853,12,0.425388318,0,0,0,0,1,1,1,0,0,1,3,2,1,1,1,0,0,0,0
1,13,10.34419,11,78.38037251,1,1,0,1,0,0,0,0,0,0,3,2,1,1,1,0,1,1,0
1,14,55.75843332,13,37.25995306,1,0,1,0,1,1,1,0,0,0,3,2,1,1,1,0,0,0,0
1,15,32.89566483,15,51.37085504,0,1,1,1,1,0,0,0,1,0,3,2,1,1,1,0,1,1,0
1,16,99.57248405,1,4.746335739,0,0,1,0,0,1,0,1,1,1,1,3,1,1,1,0,0,0,0
1,17,87.39698246,5,7.280613839,0,0,1,0,1,0,0,0,0,1,1,3,1,2,2,0,1,1,0
1,18,97.59792844,2,22.46707083,1,0,0,0,0,0,0,1,1,1,1,3,1,2,2,0,1,1,0
1,19,46.35867525,4,82.33195332,1,0,0,1,0,1,0,0,0,0,1,3,1,1,1,0,1,1,0
1,20,8.158452162,3,75.49090581,1,0,1,1,0,0,0,0,0,0,1,3,1,1,1,0,1,1,0
1,21,12.60352786,10,74.8292457,0,0,1,0,0,0,0,0,0,0,2,3,1,1,1,0,1,1,0
1,22,66.855591,8,48.20876822,0,1,0,0,0,0,0,1,1,1,2,3,1,1,1,0,0,0,0
1,23,93.4357086,7,13.2445702,0,1,0,0,0,1,1,0,1,1,2,3,1,1,1,0,0,0,0
1,24,60.59065975,9,32.28342434,0,0,1,1,1,1,1,0,1,0,2,3,1,1,1,0,0,0,0
1,25,19.96611028,6,54.74243172,1,0,1,1,0,0,0,0,1,0,2,3,1,1,1,0,1,1,0
1,26,92.09788271,15,7.64748573,0,0,0,1,1,1,1,1,0,0,3,3,1,1,1,0,0,0,0
1,27,93.79567535,14,46.8313429,0,0,0,0,0,1,0,1,0,0,3,3,1,2,2,0,1,1,0
1,28,87.53092688,13,3.142726627,0,0,1,1,0,1,0,0,0,0,3,3,1,1,1,0,0,0,0
1,29,87.58448291,11,45.87695377,0,0,0,0,0,1,0,1,1,1,3,3,1,1,1,0,0,0,0
1,30,23.29857382,12,83.87165709,1,1,1,0,0,0,0,1,0,1,3,3,1,2,2,0,0,0,0
